scores	parameters
0.9125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f3fba59c9a0>, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50,), 'model__max_iter': 500
0.9125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f3fba59c9a0>, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (100,), 'model__max_iter': 500
0.9	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f3fba59c9a0>, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (100,), 'model__max_iter': 500
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f3fba59c9a0>, 'model__alpha': 0.001, 'model__hidden_layer_sizes': (50,), 'model__max_iter': 500
