scores	parameters
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fd1a97bc9a0>, 'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fd1a97bc9a0>, 'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
0.90625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fd1a97bc9a0>, 'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
0.84375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fd1a97bc9a0>, 'model__bootstrap': True, 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
