phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	99	5	5	51	56	0.9375	0.910714	0.951923	0.910714	0.910714	0.910714	0.862637	0.988152	0.970137	0.952395	0.952395
pig	101	3	2	54	56	0.96875	0.964286	0.971154	0.947368	0.964286	0.955752	0.931688	0.994849	0.985894	0.979425	0.979425
poultry	109	3	4	44	48	0.95625	0.916667	0.973214	0.93617	0.916667	0.926316	0.89531	0.990513	0.972459	0.962947	0.962947
