phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	99	5	3	53	56	0.95	0.946429	0.951923	0.913793	0.946429	0.929825	0.891339	0.994591	0.987275	0.978614	0.978614
pig	97	7	0	56	56	0.95625	1.0	0.932692	0.888889	1.0	0.941177	0.910527	0.99648	0.990122	0.984866	0.984866
poultry	112	0	9	39	48	0.94375	0.8125	1.0	1.0	0.8125	0.896552	0.867217	0.993676	0.976428	0.97354	0.97354
