phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	6	50	56	0.9625	0.892857	1.0	1.0	0.892857	0.943396	0.91878	0.994334	0.986788	0.977749	0.977749
pig	101	3	2	54	56	0.96875	0.964286	0.971154	0.947368	0.964286	0.955752	0.931688	0.996308	0.989821	0.984072	0.984072
poultry	106	6	1	47	48	0.95625	0.979167	0.946429	0.886792	0.979167	0.930693	0.901199	0.994327	0.981836	0.974988	0.974988
