phenotype	TN	FP	FN	TP	support	accuracy	sensitivity	specificity	precision	recall	f1-score	MCC	ROC-AUC	PR-AUC	PRG-AUC	PRG-AUC_clipped
fruit	104	0	6	50	56	0.9625	0.892857	1.0	1.0	0.892857	0.943396	0.91878	0.994849	0.987885	0.979521	0.979521
pig	94	10	2	54	56	0.925	0.964286	0.903846	0.84375	0.964286	0.9	0.845222	0.983001	0.958135	0.928853	0.928853
poultry	106	6	8	40	48	0.9125	0.833333	0.946429	0.869565	0.833333	0.851064	0.789515	0.978051	0.940054	0.909238	0.909238
