scores	parameters
0.91875	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__max_depth': 10, 'model__n_estimators': 200
0.9125	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__max_depth': 10, 'model__n_estimators': 200
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__max_depth': None, 'model__n_estimators': 200
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__max_depth': None, 'model__n_estimators': 200
